GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,ClassifierBehaviorPropertyImpl,118,0,22,0,33,0,20,0,9,0
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,ParticipantPropertyImpl,204,0,40,0,53,0,34,0,12,0
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,ValueTypeImpl,240,50,50,8,58,15,41,7,10,5
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,NestedConnectorEndImpl,106,12,21,1,27,6,17,3,6,3
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,DistributedPropertyImpl,118,0,22,0,33,0,20,0,9,0
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,ElementPropertyPathImpl,183,31,48,2,43,10,36,3,9,3
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,BlocksPackageImpl,20,1533,9,13,1,206,10,53,1,51
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,PropertySpecificTypeImpl,118,0,22,0,33,0,20,0,9,0
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,BlockImpl,165,53,28,6,44,16,30,6,10,6
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,AdjunctPropertyImpl,204,0,40,0,53,0,34,0,12,0
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,ConnectorPropertyImpl,204,0,40,0,53,0,34,0,12,0
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,DirectedRelationshipPropertyPathImpl,451,31,112,2,103,10,83,3,18,3
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,BlocksFactoryImpl,103,48,9,6,31,17,20,10,11,6
org.eclipse.papyrus.sysml14,org.eclipse.papyrus.sysml14.blocks.internal.impl,BindingConnectorImpl,85,33,20,2,22,11,16,4,5,4
