GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,BlockItemProvider,130,0,4,0,47,0,11,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,BlocksItemProviderAdapterFactory,329,0,62,0,76,0,53,0,22,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,ValueTypeItemProvider,133,0,2,0,58,0,11,0,10,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,BindingConnectorItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,BoundReferenceItemProvider,113,0,2,0,43,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,ConnectorPropertyItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,DistributedPropertyItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,EndPathMultiplicityItemProvider,161,0,4,0,62,0,12,0,10,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,DirectedRelationshipPropertyPathItemProvider,187,0,2,0,87,0,12,0,11,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,ParticipantPropertyItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,ElementPropertyPathItemProvider,94,0,2,0,42,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,PropertySpecificTypeItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,ClassifierBehaviorPropertyItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,AdjunctPropertyItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.blocks.provider,NestedConnectorEndItemProvider,69,0,2,0,27,0,8,0,7,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,SatisfyItemProvider,38,0,2,0,12,0,7,0,6,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,VerifyItemProvider,38,0,2,0,12,0,7,0,6,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,DeriveReqtItemProvider,38,0,2,0,12,0,7,0,6,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,RefineItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,CopyItemProvider,38,0,2,0,12,0,7,0,6,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,TestCaseItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,RequirementItemProvider,387,0,8,0,169,0,21,0,17,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,RequirementsItemProviderAdapterFactory,257,0,46,0,60,0,41,0,18,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.requirements.provider,TraceItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ConformItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ModelelementsItemProviderAdapterFactory,257,0,46,0,60,0,41,0,18,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ViewpointItemProvider,325,0,8,0,139,0,19,0,15,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ProblemItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,StakeholderItemProvider,133,0,2,0,58,0,11,0,10,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ExposeItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ElementGroupItemProvider,263,0,8,0,109,0,17,0,13,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,ViewItemProvider,133,0,2,0,58,0,11,0,10,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.modelelements.provider,RationaleItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.edit.provider,SysMLItemProviderAdapter,27,0,2,0,7,0,3,0,2,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,RateItemProvider,164,0,2,0,73,0,12,0,11,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,OverwriteItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,ContinuousItemProvider,38,0,2,0,12,0,7,0,6,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,NoBufferItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,DiscreteItemProvider,38,0,2,0,12,0,7,0,6,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,OptionalItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,ActivitiesItemProviderAdapterFactory,257,0,46,0,60,0,41,0,18,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,ControlOperatorItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.activities.provider,ProbabilityItemProvider,133,0,2,0,58,0,11,0,10,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.constraintblocks.provider,ConstraintblocksItemProviderAdapterFactory,131,0,18,0,32,0,20,0,11,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.constraintblocks.provider,ConstraintBlockItemProvider,53,0,2,0,14,0,8,0,7,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.deprecatedelements.provider,FlowPortItemProvider,177,0,10,0,65,0,15,0,10,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.deprecatedelements.provider,FlowSpecificationItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.deprecatedelements.provider,DeprecatedelementsItemProviderAdapterFactory,149,0,22,0,36,0,23,0,12,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.provider,SysMLEditPlugin.Implementation,5,0,0,0,3,0,1,0,1,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.provider,SysMLEditPlugin,22,0,0,0,9,0,4,0,4,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.allocations.provider,AllocateItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.allocations.provider,AllocateActivityPartitionItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.allocations.provider,AllocationsItemProviderAdapterFactory,149,0,22,0,36,0,23,0,12,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,AcceptChangeStructuralFeatureEventActionItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,InvocationOnNestedPortActionItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,ChangeStructuralFeatureEventItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,ProxyPortItemProvider,71,0,2,0,28,0,9,0,8,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,ItemFlowItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,TriggerOnNestedPortItemProvider,102,0,2,0,43,0,10,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,FlowPropertyItemProvider,146,0,10,0,50,0,14,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,PortsandflowsItemProviderAdapterFactory,293,0,54,0,68,0,47,0,20,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,InterfaceBlockItemProvider,53,0,2,0,14,0,8,0,7,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,DirectedFeatureItemProvider,146,0,10,0,50,0,14,0,9,0
org.eclipse.papyrus.sysml14.edit,org.eclipse.papyrus.sysml14.portsandflows.provider,FullPortItemProvider,71,0,2,0,28,0,9,0,8,0
