GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.util,GraphicalSysMLServiceTypeUtil,3,0,0,0,2,0,1,0,1,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.command,ConfigurePartCommand,33,0,2,0,11,0,3,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.css.dom,GMFSYSMLElementAdapter,437,0,90,0,94,0,52,0,7,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.css.dom,GMFSYSMLElementProvider,43,0,4,0,7,0,5,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.css.dom,GMFSYSMLElementProviderFactory,20,0,2,0,6,0,4,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.css.helper,CSSDOMSYSMLSemanticElementHelper,48,0,16,0,13,0,11,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.provider,AbstractParserProvider,62,0,12,0,17,0,9,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.dialog,CreateOrSelectBlockPropertyTypeDialog,31,0,0,0,5,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.dialog,CreateOrSelectConstraintPropertyTypeDialog,16,0,0,0,6,0,1,0,1,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.dialog,CreateOrSelectActorPartTypeDialog,16,0,0,0,6,0,1,0,1,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.dialog,CreateOrSelectValuePropertyTypeDialog,330,0,8,0,64,0,9,0,5,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.dialog,CreateOrSelectValuePropertyTypeDialog.new ModifyListener() {...},36,0,4,0,11,0,4,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.advices,ValueEditHelperAdvice,97,0,6,0,27,0,6,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.advices,CreateOrSelectBlockPropertyTypeEditHelperAdvice,97,0,6,0,27,0,6,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.advices,ConstraintPropertyGraphicalEditHelperAdvice,97,0,6,0,27,0,6,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.advices,ActorPartGraphicalEditHelperAdvice,97,0,6,0,27,0,6,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common,Activator,214,0,30,0,39,0,18,0,3,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.internal.factory.util,ClassifierViewFactoryUtil,88,0,10,0,27,0,9,0,4,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.figure,FlowPortFigure,7,0,0,0,3,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.figure,SysMLConnectorFigure,13,0,0,0,4,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.internal.command,RenamePostCreationCommand,23,0,0,0,7,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.edit.parts,SysMLConnectorAppliedStereotypeEditPart,14,0,0,0,5,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.edit.parts,SysMLConnectorEditPart,8,0,0,0,3,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.edit.parts,FlowPortEditPart,58,0,4,0,17,0,7,0,5,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.edit.parts,LabelInListEditpart,8,0,0,0,3,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.locator,FixedPortPositionLocator,59,0,4,0,13,0,4,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.internal.factory,SysMLConnectorViewFactory,140,0,0,0,35,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.internal.factory,FlowPortViewFactory,31,0,0,0,9,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.internal.factory,AbstractBasicViewFactory,100,0,10,0,27,0,10,0,5,0
org.eclipse.papyrus.sysml14.diagram.common,org.eclipse.papyrus.sysml14.diagram.common.internal.dialog,CreateOrSelectTypeWithNameDialog,41,0,0,0,11,0,6,0,6,0
