GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ReferencePropertyHandler,58,0,8,0,18,0,7,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,FlowSpecificationHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ViewPointHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,AbstractCreateSysmlChildMenu,4,0,0,0,2,0,1,0,1,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,BlockHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,FlowPortNAHandler,54,0,8,0,17,0,6,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,RequirementHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ActorPartPropertyHandler,58,0,8,0,18,0,7,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,FlowPropertyHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ConstraintPropertyHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ProblemHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,AbstractSysmlCreateElementCommandHandler,8,0,0,0,3,0,3,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,VerifyHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,FlowPortHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,PartPropertyHandler,58,0,8,0,18,0,7,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,SysmlNattableCreateMenu,26,0,2,0,6,0,3,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ConstraintBlockHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,RationaleHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ValuePropertyHandler,58,0,8,0,18,0,7,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,CreateAllocateHandler,42,0,6,0,11,0,5,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,AllocateHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ViewHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,AbstractSysmlNattableCreateCommandHandler,48,0,6,0,16,0,7,0,4,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,UnitHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ConstraintBlockParameterHandler,71,0,8,0,20,0,7,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.handlers,ValueTypeHandler,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.allocation.tester,AllocationPropertyTester,27,0,6,0,5,0,5,0,2,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui.filter,SysmlCommandFilter,98,0,2,0,20,0,4,0,3,0
org.eclipse.papyrus.sysml14.nattable.ui,org.eclipse.papyrus.sysml14.nattable.ui,Activator,3,0,0,0,1,0,1,0,1,0
